,gene1,gene2
1731,125,8602
1732,125,9195
1733,125,9297
1734,125,9435
1735,125,9495
1736,125,9552
1737,125,9654
1738,125,9913
1739,125,9916
1740,125,9917
1741,126,1
1742,126,64
1743,126,69
1744,126,91
1745,126,92
1746,126,127
1747,126,128
1748,126,136
1749,126,137
1750,126,276
1751,126,277
1752,126,304
1753,126,335
1754,126,384
1755,126,413
1756,126,429
1757,126,468
1758,126,471
1759,126,476
1760,126,477
1761,126,490
1762,126,537
1763,126,550
1764,126,639
1765,126,645
1766,126,646
1767,126,700
1768,126,704
1769,126,730
1770,126,851
1771,126,855
1772,126,860
1773,126,876
1774,126,882
1775,126,1150
1776,126,1151
1777,126,1162
1778,126,1171
1779,126,1201
1780,126,1209
1781,126,1222
1782,126,1327
1783,126,1329
1784,126,1364
1785,126,1387
1786,126,1450
1787,126,1465
1788,126,1468
1789,126,1509
1790,126,1570
1791,126,1571
1792,126,1575
1793,126,1714
1794,126,1724
1795,126,1763
1796,126,1855
1797,126,1856
1798,126,1868
1799,126,1870
1800,126,1872
1801,126,1947
1802,126,1997
1803,126,2004
1804,126,2026
1805,126,2060
1806,126,2061
1807,126,2062
1808,126,2065
1809,126,2102
1810,126,2164
1811,126,2247
1812,126,2250
1813,126,2310
1814,126,2422
1815,126,2429
1816,126,2501
1817,126,2505
1818,126,2539
1819,126,2591
1820,126,2594
1821,126,2624
1822,126,2646
1823,126,2647
1824,126,2651
1825,126,2652
1826,126,2654
1827,126,2655
1828,126,2669
1829,126,2694
1830,126,2710
1831,126,2712
1832,126,2727
1833,126,2769
1834,126,2787
1835,126,2809
1836,126,2810
1837,126,2856
1838,126,2879
1839,126,2951
1840,126,2957
1841,126,2965
1842,126,3076
1843,126,3108
1844,126,3109
1845,126,3113
1846,126,3131
1847,126,3181
1848,126,3255
1849,126,3256
1850,126,3307
1851,126,3472
1852,126,3476
1853,126,3592
1854,126,3648
1855,126,3773
1856,126,3899
1857,126,3904
1858,126,3905
1859,126,3908
1860,126,3909
1861,126,3911
1862,126,3916
1863,126,3991
1864,126,4002
1865,126,4003
1866,126,4014
1867,126,4022
1868,126,4043
1869,126,4062
1870,126,4064
1871,126,4228
1872,126,4290
1873,126,4295
1874,126,4343
1875,126,4407
1876,126,4629
1877,126,4712
1878,126,4726
1879,126,4836
1880,126,4843
1881,126,4893
1882,126,4910
1883,126,4940
1884,126,5006
1885,126,5007
1886,126,5008
1887,126,5009
1888,126,5010
1889,126,5060
1890,126,5120
1891,126,5138
1892,126,5207
1893,126,5592
1894,126,5599
1895,126,5632
